Zyklus, bester Fitnesswert Real, Binaer1P, Binaer2P
1220,20.819204999854335,0.0,0.0
1462,19.67124474456798,0.0,0.0
1461,19.675861762459427,0.0,0.0
1460,19.67800997224993,0.0,0.0
1217,20.851274724731176,0.0,0.0
1459,19.68576993464119,0.0,0.0
1216,20.85770435476103,0.0,0.0
1458,19.688043296856712,0.0,0.0
1215,20.85819337547383,0.0,0.0
1457,19.696507712329574,0.0,0.0
1214,20.85819337547383,0.0,0.0
1456,19.699560816031774,0.0,0.0
1213,20.872035529969477,0.0,0.0
1455,19.703451533486852,0.0,0.0
1212,20.87804692545763,0.0,0.0
1454,19.703451533486852,0.0,0.0
1211,20.87804692545763,0.0,0.0
1453,19.70711545387705,0.0,0.0
1210,20.885794203995587,0.0,0.0
1452,19.712775146839924,0.0,0.0
1219,20.828475786231635,0.0,0.0
1218,20.84123030027451,0.0,0.0
1231,20.759929392513392,0.0,0.0
1473,19.62625895375357,0.0,0.0
1230,20.774828912442054,0.0,0.0
1472,19.63552248029791,0.0,0.0
1471,19.635584383533658,0.0,0.0
1470,19.635584383533658,0.0,0.0
0,88.58349999999999,88.58349999999999,88.58349999999999
1228,20.778329411080097,0.0,0.0
1,50.45236874999972,88.58349999999999,88.58349999999999
1227,20.793923455984814,0.0,0.0
1469,19.635584383533658,0.0,0.0
2,44.71917187499904,81.78966215825453,88.58349999999999
1226,20.79577919838294,0.0,0.0
1468,19.64659948459167,0.0,0.0
3,35.70009765624998,81.78966215825453,88.58349999999999
1225,20.795952460340818,0.0,0.0
1467,19.64879876574776,0.0,0.0
4,34.35341308593749,77.80448749999762,88.58349999999999
1224,20.809307856177305,0.0,0.0
1466,19.652632944815515,0.0,0.0
5,32.501853271484386,74.57309508743062,88.58349999999999
1223,20.81373162724065,0.0,0.0
1465,19.658047822331703,0.0,0.0
6,32.31356895751953,67.22638749999999,88.58349999999999
1222,20.81777464313174,0.0,0.0
1464,19.666104211233172,0.0,0.0
7,32.31356895751953,64.65077500000001,88.58349999999999
1221,20.819204999854335,0.0,0.0
1463,19.668528403732324,0.0,0.0
8,32.0071063415525,57.96958853759768,88.58349999999999
800,23.68481611499946,0.11564024875508805,0.3657149445410486
9,31.756575945758815,57.96958853759768,83.89689375000043
801,23.674084681988766,0.11564024875508805,0.1977790738784706
802,23.674084681988766,0.11564024875508805,0.1977790738784706
803,23.659750003123083,0.11564024875508805,0.1977790738784706
804,23.657502503900584,0.08908507483987693,0.1977790738784706
805,23.642562690232072,0.0863841527904845,0.1977790738784706
806,23.636365213672747,0.0863841527904845,0.1977790738784706
807,23.618544885820178,0.055245915453164596,0.1977790738784706
1229,20.777963274219406,0.0,0.0
808,23.618544885820178,0.02626918550706403,0.1977790738784706
809,23.588762336247125,0.02626918550706403,0.1977790738784706
1000,22.188233239525413,0.0,0.0
1242,20.705289506144588,0.0,0.0
1484,19.577829456825523,0.0,0.0
1241,20.710204197128093,0.0,0.0
1483,19.584229002900017,0.0,0.0
1240,20.72317877429679,0.0,0.0
1482,19.587691453988366,0.0,0.0
1481,19.59253261196029,0.0,0.0
1480,19.593759303462136,0.0,0.0
1239,20.72538401587778,0.0,0.0
1238,20.72538401587778,0.0,0.0
1237,20.728611735860405,0.0,0.0
1479,19.603765170936327,0.0,0.0
1236,20.74301089265927,0.0,0.0
1478,19.608543295648555,0.0,0.0
1235,20.74663711976642,0.0,0.0
1477,19.608543295648555,0.0,0.0
1234,20.74982396077143,0.0,0.0
1476,19.60859831207827,0.0,0.0
1233,20.74982396077143,0.0,0.0
1475,19.618268594184933,0.0,0.0
810,23.588762336247125,0.02626918550706403,0.1977790738784706
1232,20.759929392513392,0.0,0.0
1474,19.62434013034504,0.0,0.0
811,23.588762336247125,0.02626918550706403,0.1977790738784706
812,23.588762336247125,0.02626918550706403,0.1977790738784706
813,23.576719894637918,0.02626918550706403,0.1977790738784706
814,23.576719894637918,0.02626918550706403,0.1977790738784706
815,23.57025031665826,0.02626918550706403,0.13226773454845853
816,23.562473372732825,0.02626918550706403,0.13226773454845853
817,23.55139257983164,0.02626918550706403,0.13226773454845853
818,23.532062411866775,0.02626918550706403,0.12067740255968973
819,23.524164011085947,0.02626918550706403,0.12067740255968973
1011,22.097235393380366,0.0,0.0
1253,20.647969909434977,0.0,0.0
1495,19.53874860074585,0.0,0.0
1010,22.10607173244599,0.0,0.0
1252,20.647969909434977,0.0,0.0
1494,19.539970200069778,0.0,0.0
1251,20.663050378434423,0.0,0.0
1493,19.55115033723894,0.0,0.0
1250,20.663050378434423,0.0,0.0
1492,19.55115033723894,0.0,0.0
1491,19.554290824456913,0.0,0.0
1490,19.5552957057744,0.0,0.0
1008,22.12649214959318,0.0,0.0
1007,22.136656695319235,0.0,0.0
1249,20.663050378434423,0.0,0.0
1006,22.147303277768238,0.0,0.0
1248,20.669280857893884,0.0,0.0
1005,22.147983549753874,0.0,0.0
1247,20.683439635686142,0.0,0.0
1489,19.563391820583547,0.0,0.0
1004,22.162119895994937,0.0,0.0
1246,20.683439635686142,0.0,0.0
1488,19.56499223873302,0.0,0.0
1003,22.162119895994937,0.0,0.0
1245,20.69009923775783,0.0,0.0
1487,19.570278538810438,0.0,0.0
820,23.524164011085947,0.02626918550706403,0.09690825895314747
1002,22.16945990841628,0.0,0.0
1244,20.705025794175306,0.0,0.0
1486,19.57548369839674,0.0,0.0
821,23.512128662912403,0.02626918550706403,0.09690825895314747
1001,22.180401851493443,0.0,0.0
1243,20.705289506144588,0.0,0.0
1485,19.577829456825523,0.0,0.0
822,23.49385335389984,0.018187862983370273,0.09690825895314747
823,23.49385335389984,0.018187862983370273,0.0627320107176903
824,23.487244812189463,0.018187862983370273,0.0627320107176903
825,23.48092060681066,0.018187862983370273,0.0627320107176903
826,23.476687459495547,0.018187862983370273,0.03484900920847789
827,23.46877947053627,0.018187862983370273,0.03484900920847789
828,23.46462329388482,0.018187862983370273,0.03484900920847789
829,23.458838742025304,0.018187862983370273,0.026324606875977152
1009,22.12649214959318,0.0,0.0
1022,22.02950576250551,0.0,0.0
1264,20.593452566907875,0.0,0.0
1021,22.041954025047602,0.0,0.0
1263,20.59984578872473,0.0,0.0
1020,22.041954025047602,0.0,0.0
1262,20.603156452113332,0.0,0.0
1261,20.607299593449138,0.0,0.0
1260,20.610134872654424,0.0,0.0
1019,22.050007669974473,0.0,0.0
1018,22.05760562877096,0.0,0.0
1017,22.067119695966454,0.0,0.0
1259,20.618924348965706,0.0,0.0
1016,22.0825790720656,0.0,0.0
1258,20.62203051499979,0.0,0.0
1015,22.08315630597293,0.0,0.0
1257,20.62203051499979,0.0,0.0
1499,19.527504225560968,0.0,0.0
830,23.418839462217026,0.018187862983370273,0.026324606875977152
1014,22.085509398141745,0.0,0.0
1256,20.626759900993527,0.0,0.0
1498,19.52810178169668,0.0,0.0
831,23.418839462217026,0.01810979958641512,0.026324606875977152
1013,22.097235393380366,0.0,0.0
1255,20.63942334846428,0.0,0.0
1497,19.52810178169668,0.0,0.0
832,23.418839462217026,0.01810979958641512,0.026324606875977152
1012,22.097235393380366,0.0,0.0
1254,20.63942334846428,0.0,0.0
1496,19.533475455932592,0.0,0.0
833,23.40828106077409,0.01810979958641512,0.026324606875977152
834,23.40828106077409,0.006761392238318842,0.026324606875977152
835,23.39002224397862,0.006761392238318842,0.026324606875977152
836,23.39002224397862,0.006761392238318842,0.011264586943485422
837,23.39002224397862,0.006761392238318842,0.011264586943485422
838,23.364244501864366,0.006716649531429808,0.011264586943485422
839,23.364244501864366,0.006716649531429808,0.011264586943485422
1033,21.95551235399959,0.0,0.0
1275,20.53353702475729,0.0,0.0
1032,21.95551235399959,0.0,0.0
1274,20.53495436012504,0.0,0.0
1031,21.95551235399959,0.0,0.0
1273,20.540400859380167,0.0,0.0
1030,21.973316964329065,0.0,0.0
1272,20.545144872676627,0.0,0.0
1271,20.545144872676627,0.0,0.0
1270,20.56332805837036,0.0,0.0
1029,21.978939194712805,0.0,0.0
1028,21.978939194712805,0.0,0.0
1027,21.997348635741833,0.0,0.0
1269,20.56332805837036,0.0,0.0
840,23.344807333791895,0.006716649531429808,0.011264586943485422
1026,22.01282489543003,0.0,0.0
1268,20.568309519634198,0.0,0.0
841,23.344807333791895,0.002799346654106638,0.011264586943485422
1025,22.01299719633743,0.0,0.0
1267,20.58260200975948,0.0,0.0
600,25.424635007090174,1.0451029143859791,1.233678560409179
842,23.344807333791895,0.002799346654106638,0.007162839368937579
1024,22.019518181718432,0.0,0.0
1266,20.58617800659814,0.0,0.0
601,25.41172464668402,1.0426858951783935,1.233678560409179
843,23.344807333791895,0.002799346654106638,0.007162839368937579
1023,22.029372725707994,0.0,0.0
1265,20.588505630195463,0.0,0.0
602,25.41172464668402,1.0426858951783935,1.233678560409179
844,23.326052774938116,0.002799346654106638,0.007162839368937579
603,25.41172464668402,1.0426858951783935,1.233678560409179
845,23.32087796437738,0.0025981732147163372,0.002884581449371204
604,25.382583306082356,1.0426858951783935,1.233678560409179
846,23.318846787012124,0.0019804055517128605,9.801685571367846E-4
605,25.382583306082356,0.9785988658911623,1.233678560409179
847,23.306156300326844,0.0010342310217131834,2.3751433322727333E-4
606,25.373446025130896,0.9785988658911623,1.233678560409179
848,23.30436713704932,2.681300559358446E-4,2.3751433322727333E-4
607,25.373446025130896,0.9785988658911623,1.233678560409179
849,23.282998209789017,2.681300559358446E-4,2.3751433322727333E-4
608,25.351445663677392,0.9785988658911623,1.233678560409179
609,25.33857801871182,0.9785988658911623,1.233678560409179
1044,21.88031928780317,0.0,0.0
1286,20.477243857457754,0.0,0.0
1043,21.883221445331078,0.0,0.0
1285,20.480097648167693,0.0,0.0
1042,21.883221445331078,0.0,0.0
1284,20.48986732341245,0.0,0.0
1041,21.883221445331078,0.0,0.0
1283,20.490117276190286,0.0,0.0
1040,21.90296955914741,0.0,0.0
1282,20.498549608222827,0.0,0.0
1281,20.500403031694397,0.0,0.0
1280,20.51073020355344,0.0,0.0
1039,21.911135123043284,0.0,0.0
850,23.282998209789017,0.0,2.3751433322727333E-4
1038,21.911135123043284,0.0,0.0
851,23.268474814392896,0.0,2.3751433322727333E-4
1037,21.911223557204387,0.0,0.0
1279,20.51488020505718,0.0,0.0
610,25.33857801871182,0.9785988658911623,1.233678560409179
852,23.268474814392896,0.0,2.3751433322727333E-4
1036,21.911223557204387,0.0,0.0
1278,20.516896582421356,0.0,0.0
611,25.327953913918947,0.9785988658911623,1.233678560409179
853,23.26122728806775,0.0,0.0
1035,21.94319595028736,0.0,0.0
1277,20.522538543775134,0.0,0.0
612,25.32305185383143,0.9785988658911623,1.2285065291272739
854,23.250753947064577,0.0,0.0
1034,21.953354284360216,0.0,0.0
1276,20.53353702475729,0.0,0.0
613,25.307715685794662,0.9785988658911623,1.2285065291272739
855,23.24504849347171,0.0,0.0
614,25.301650191460936,0.9785988658911623,1.2285065291272739
856,23.24504849347171,0.0,0.0
615,25.30068331220813,0.9785988658911623,1.2138085734571071
857,23.229509729448996,0.0,0.0
616,25.293260413078677,0.9785988658911623,1.2138085734571071
858,23.214051923851958,0.0,0.0
617,25.26755297008858,0.9785988658911623,1.2138085734571071
859,23.206481682278657,0.0,0.0
618,25.260347366720268,0.9785988658911623,1.2138085734571071
619,25.260347366720268,0.9785988658911623,1.2138085734571071
1055,21.81396757888444,0.0,0.0
1297,20.424796429365845,0.0,0.0
1054,21.822548806566903,0.0,0.0
1296,20.432534579142416,0.0,0.0
1053,21.823506161355652,0.0,0.0
1295,20.433824631188486,0.0,0.0
1052,21.838888630915918,0.0,0.0
1294,20.442908215144378,0.0,0.0
1051,21.8414562524164,0.0,0.0
1293,20.445830497712187,0.0,0.0
1050,21.842409552925794,0.0,0.0
1292,20.448428725970608,0.0,0.0
1291,20.450762550243347,0.0,0.0
1290,20.460969545002474,0.0,0.0
860,23.206481682278657,0.0,0.0
861,23.19763833989442,0.0,0.0
1049,21.842409552925794,0.0,0.0
620,25.253961309252805,0.9785988658911623,1.2138085734571071
862,23.19763833989442,0.0,0.0
1048,21.85982406244036,0.0,0.0
621,25.24187497276147,0.9785988658911623,1.2138085734571071
863,23.18570221147298,0.0,0.0
1047,21.86431563675733,0.0,0.0
1289,20.460969545002474,0.0,0.0
622,25.216277921146066,0.9785988658911623,1.191488543474762
864,23.18499303097929,0.0,0.0
1046,21.86431563675733,0.0,0.0
1288,20.471583571873044,0.0,0.0
623,25.216277921146066,0.9785988658911623,1.191488543474762
865,23.17298619148845,0.0,0.0
1045,21.873723492854882,0.0,0.0
1287,20.477243857457754,0.0,0.0
624,25.196178766267213,0.9785988658911623,1.191488543474762
866,23.166987262789092,0.0,0.0
625,25.18888410060357,0.9785988658911623,1.191488543474762
867,23.158614781445902,0.0,0.0
626,25.18888410060357,0.9785988658911623,1.191488543474762
868,23.1462198483862,0.0,0.0
627,25.184723211221247,0.9785988658911623,1.1889754268821255
869,23.137718497547137,0.0,0.0
628,25.156340400338628,0.9785988658911623,1.1889754268821255
629,25.156340400338628,0.9785988658911623,1.1889754268821255
1066,21.750279265591633,0.0,0.0
1065,21.750279265591633,0.0,0.0
1064,21.759652312133305,0.0,0.0
1063,21.759652312133305,0.0,0.0
1062,21.759652312133305,0.0,0.0
1061,21.774998364000847,0.0,0.0
1060,21.775810883716467,0.0,0.0
870,23.12988861164745,0.0,0.0
871,23.125481006010034,0.0,0.0
630,25.148472427457076,0.9785988658911623,1.1889754268821255
872,23.125481006010034,0.0,0.0
631,25.136892714047686,0.9785988658911623,1.1618175166219515
873,23.113093292008177,0.0,0.0
1059,21.775810883716467,0.0,0.0
632,25.136892714047686,0.9548885259558507,1.1618175166219515
874,23.10533365419434,0.0,0.0
1058,21.79391420247267,0.0,0.0
633,25.125199679075024,0.9548885259558507,1.1618175166219515
875,23.10389031265054,0.0,0.0
1057,21.80043730374805,0.0,0.0
1299,20.41684853721303,0.0,0.0
634,25.12210551546628,0.9548885259558507,1.1618175166219515
876,23.08487103071962,0.0,0.0
1056,21.80043730374805,0.0,0.0
1298,20.423523419305496,0.0,0.0
635,25.103666678245013,0.9548885259558507,1.1618175166219515
877,23.058126252092475,0.0,0.0
636,25.083686369586758,0.9548885259558507,1.1618175166219515
878,23.058126252092475,0.0,0.0
637,25.083686369586758,0.9548885259558507,1.1618175166219515
879,23.044000543800284,0.0,0.0
638,25.083457471559164,0.9548885259558507,1.1618175166219515
639,25.059410510315892,0.9548885259558507,1.1618175166219515
1077,21.672695921112293,0.0,0.0
1076,21.68031431337134,0.0,0.0
1075,21.69042414054279,0.0,0.0
1074,21.69042414054279,0.0,0.0
1073,21.69981180686083,0.0,0.0
1072,21.69981180686083,0.0,0.0
1071,21.716811243147358,0.0,0.0
1070,21.72029504440278,0.0,0.0
880,23.044000543800284,0.0,0.0
881,23.044000543800284,0.0,0.0
640,25.058989008292876,0.9548885259558507,1.1618175166219515
882,23.03658957517277,0.0,0.0
641,25.045935754984384,0.9548885259558507,1.1618175166219515
883,23.03658957517277,0.0,0.0
400,27.448225663374405,1.403520268132837,2.35637988732205
642,25.01572598119707,0.9548885259558507,1.1618175166219515
884,23.032967305978257,0.0,0.0
401,27.448225663374405,1.403520268132837,2.35637988732205
643,25.01572598119707,0.9548885259558507,1.1618175166219515
885,23.016999692666722,0.0,0.0
1069,21.733154330364503,0.0,0.0
402,27.436066641630283,1.403520268132837,2.35637988732205
644,25.01572598119707,0.9548885259558507,1.1618175166219515
886,23.011649683490774,0.0,0.0
1068,21.73627502400174,0.0,0.0
403,27.403278546380218,1.403520268132837,2.35637988732205
645,25.01572598119707,0.9548885259558507,1.1618175166219515
887,23.00682909834208,0.0,0.0
1067,21.748720286611178,0.0,0.0
404,27.38564036672844,1.403520268132837,2.35637988732205
646,25.01090223850035,0.9548885259558507,1.1618175166219515
888,22.989644190854143,0.0,0.0
405,27.38564036672844,1.3965962921123927,2.35637988732205
647,24.984833012012718,0.9548885259558507,1.1412992008273992
889,22.97982856198716,0.0,0.0
406,27.37695036275654,1.3965962921123927,2.2973566261678995
648,24.984833012012718,0.9548885259558507,1.0902969505324267
407,27.33862766243034,1.3965962921123927,2.2973566261678995
649,24.984833012012718,0.9548885259558507,1.0902969505324267
408,27.33862766243034,1.3965962921123927,2.2973566261678995
409,27.33862766243034,1.3965962921123927,2.2973566261678995
1080,21.66480636692739,0.0,0.0
1088,21.604875939065003,0.0,0.0
1087,21.60526702778164,0.0,0.0
1086,21.60526702778164,0.0,0.0
1085,21.628720697885935,0.0,0.0
1084,21.630487974901623,0.0,0.0
1083,21.64475636341439,0.0,0.0
1082,21.644992714823918,0.0,0.0
890,22.97982856198716,0.0,0.0
1081,21.644992714823918,0.0,0.0
891,22.96072876790633,0.0,0.0
650,24.972764359011727,0.9548885259558507,1.0902969505324267
892,22.95538291254109,0.0,0.0
651,24.955051064117878,0.9548885259558507,1.0902969505324267
893,22.95538291254109,0.0,0.0
410,27.334782734225136,1.3965962921123927,2.2973566261678995
652,24.94535747607381,0.9548885259558507,1.0902969505324267
894,22.933047791147327,0.0,0.0
411,27.32224478003172,1.3062073643741703,2.2973566261678995
653,24.94535747607381,0.9548885259558507,1.0902969505324267
895,22.933047791147327,0.0,0.0
412,27.30478464101566,1.3062073643741703,2.2973566261678995
654,24.94514155345419,0.9548885259558507,1.0902969505324267
896,22.926938194245366,0.0,0.0
413,27.29238086755755,1.286327202395148,2.2973566261678995
655,24.9307852598909,0.9548885259558507,1.0607211978073956
897,22.921603773760967,0.0,0.0
1079,21.66480636692739,0.0,0.0
414,27.287139471904023,1.286327202395148,2.2973566261678995
656,24.906536392659753,0.9548885259558507,1.0607211978073956
898,22.912515132906428,0.0,0.0
1078,21.672695921112293,0.0,0.0
415,27.263628697086432,1.286327202395148,2.2973566261678995
657,24.906394442620464,0.9548885259558507,1.0607211978073956
899,22.912515132906428,0.0,0.0
416,27.263628697086432,1.286327202395148,2.2973566261678995
658,24.90343561879291,0.9548885259558507,1.0607211978073956
417,27.263628697086432,1.286327202395148,2.2973566261678995
659,24.900908509110295,0.9548885259558507,1.0607211978073956
418,27.263628697086432,1.286327202395148,2.2973566261678995
419,27.25391033911667,1.286327202395148,2.2973566261678995
1091,21.587461140138828,0.0,0.0
1090,21.592491701164274,0.0,0.0
1099,21.54061750474972,0.0,0.0
1098,21.540690454911633,0.0,0.0
1097,21.56053649421998,0.0,0.0
1096,21.562783976594176,0.0,0.0
1095,21.562783976594176,0.0,0.0
1094,21.562783976594176,0.0,0.0
1093,21.562783976594176,0.0,0.0
1092,21.56798558689754,0.0,0.0
660,24.879396574360843,0.9548885259558507,1.0607211978073956
661,24.860603670728622,0.9548885259558507,1.0607211978073956
420,27.24340963902163,1.286327202395148,2.0718625564707325
662,24.860603670728622,0.9548885259558507,1.0607211978073956
421,27.208327214642352,1.2814180017095758,2.0718625564707325
663,24.860603670728622,0.9548885259558507,1.0607211978073956
422,27.208327214642352,1.2814180017095758,2.0718625564707325
664,24.846056507122725,0.9548885259558507,1.0607211978073956
423,27.208327214642352,1.2814180017095758,2.0718625564707325
665,24.846056507122725,0.9548885259558507,1.0607211978073956
424,27.182574891852944,1.2814180017095758,2.0718625564707325
666,24.82310219644127,0.9548885259558507,1.0607211978073956
425,27.182574891852944,1.2814180017095758,2.0718625564707325
667,24.82310219644127,0.9548885259558507,1.0607211978073956
1089,21.592491701164274,0.0,0.0
426,27.182574891852944,1.2814180017095758,2.0718625564707325
668,24.811677129078436,0.8797156692797777,1.0607211978073956
427,27.172107338938186,1.2814180017095758,2.0718625564707325
669,24.811677129078436,0.8797156692797777,1.0565591245464425
428,27.165420488748417,1.2814180017095758,2.0718625564707325
429,27.14289842819769,1.2814180017095758,2.0718625564707325
670,24.782094082294833,0.8797156692797777,1.0565591245464425
671,24.782094082294833,0.8797156692797777,1.0565591245464425
430,27.14289842819769,1.2577077437907993,2.0718625564707325
672,24.782094082294833,0.8797156692797777,1.0565591245464425
431,27.127808069908774,1.2577077437907993,2.0718625564707325
673,24.772540917292076,0.8797156692797777,1.0565591245464425
432,27.111295133094135,1.2577077437907993,2.0718625564707325
674,24.772540917292076,0.8797156692797777,1.0565591245464425
433,27.111295133094135,1.2577077437907993,2.0718625564707325
675,24.74144912808968,0.8797156692797777,1.0565591245464425
434,27.08240249785005,1.2577077437907993,2.0718625564707325
676,24.74144912808968,0.8797156692797777,1.0565591245464425
435,27.08240249785005,1.2577077437907993,2.0718625564707325
677,24.74144912808968,0.8797156692797777,1.0565591245464425
436,27.06637527433101,1.2577077437907993,1.941426056377301
678,24.729570652226233,0.8797156692797777,1.0542922761351954
437,27.064352677785365,1.2577077437907993,1.941426056377301
679,24.706740739886545,0.8797156692797777,1.0542922761351954
438,27.05304337302864,1.2577077437907993,1.941426056377301
439,27.045354717165242,1.2577077437907993,1.941426056377301
680,24.69685023701092,0.8797156692797777,1.0542922761351954
681,24.689471591337675,0.8797156692797777,1.0542922761351954
440,27.0299434328068,1.2577077437907993,1.941426056377301
682,24.689471591337675,0.8797156692797777,1.0542922761351954
441,27.01110869236293,1.2577077437907993,1.941426056377301
683,24.67662462675712,0.8797156692797777,1.0542922761351954
200,29.589983635155516,3.580925189972763,8.176853179981775
442,27.004464779145017,1.2577077437907993,1.941426056377301
684,24.66651669870426,0.8797156692797777,1.0542922761351954
201,29.589983635155516,3.580925189972763,8.176853179981775
443,26.996082112888704,1.2577077437907993,1.941426056377301
685,24.663792777606506,0.8797156692797777,1.0542922761351954
202,29.560001782300976,3.580925189972763,8.176853179981775
444,26.98078568026673,1.194455237979694,1.941426056377301
686,24.661876320861268,0.8797156692797777,1.0542922761351954
203,29.560001782300976,3.580925189972763,8.176853179981775
445,26.977521984543074,1.194455237979694,1.941426056377301
687,24.65924000187425,0.8797156692797777,1.0542922761351954
204,29.54988377599553,3.580925189972763,8.176853179981775
446,26.962987287484943,1.194455237979694,1.941426056377301
688,24.64781450214302,0.826332105315799,1.0542922761351954
205,29.54988377599553,3.580925189972763,8.176853179981775
447,26.958801328275644,1.194455237979694,1.941426056377301
689,24.630197813445196,0.826332105315799,1.0542922761351954
206,29.54988377599553,3.580925189972763,8.176853179981775
448,26.939928837044558,1.194455237979694,1.941426056377301
207,29.541045057507425,3.580925189972763,8.176853179981775
449,26.939928837044558,1.194455237979694,1.941426056377301
208,29.51219325819206,3.580925189972763,8.176853179981775
209,29.51219325819206,3.580925189972763,8.176853179981775
690,24.630197813445196,0.826332105315799,1.0542922761351954
691,24.60857242641532,0.826332105315799,1.0542922761351954
450,26.924747730649162,1.194455237979694,1.941426056377301
692,24.580593219451362,0.826332105315799,1.0542922761351954
451,26.924747730649162,1.194455237979694,1.941426056377301
693,24.580593219451362,0.826332105315799,1.0542922761351954
210,29.51219325819206,2.941012283689893,8.176853179981775
452,26.916018556639035,1.194455237979694,1.941426056377301
694,24.580593219451362,0.826332105315799,1.0542922761351954
211,29.48962944744622,2.941012283689893,8.176853179981775
453,26.898022248789655,1.194455237979694,1.941426056377301
695,24.580593219451362,0.826332105315799,1.0542922761351954
212,29.458549403217205,2.941012283689893,8.176853179981775
454,26.868396461217003,1.194455237979694,1.941426056377301
696,24.574685811803064,0.826332105315799,1.0542922761351954
213,29.458549403217205,2.941012283689893,8.176853179981775
455,26.868396461217003,1.194455237979694,1.941426056377301
697,24.55289949667598,0.826332105315799,1.0542922761351954
214,29.458549403217205,2.941012283689893,8.176853179981775
456,26.857084117755374,1.194455237979694,1.941426056377301
698,24.548622421859935,0.826332105315799,1.0542922761351954
215,29.455574181882707,2.941012283689893,8.176853179981775
457,26.857084117755374,1.194455237979694,1.941426056377301
699,24.548622421859935,0.826332105315799,1.0542922761351954
216,29.418066852188772,2.941012283689893,8.176853179981775
458,26.83808934012727,1.194455237979694,1.941426056377301
217,29.39957222171468,2.941012283689893,8.176853179981775
459,26.819300856244965,1.194455237979694,1.8362149225325473
218,29.395035929194957,2.941012283689893,8.176853179981775
219,29.395035929194957,2.941012283689893,8.176853179981775
460,26.807477440792287,1.194455237979694,1.8362149225325473
